seed,Beh_Mic,Beh_Mac,His_Mic,His_Mac,Lat_Mic,Lat_Mac,Site_Mic,Site_Mac,Subs_Mic,Subs_Mac,model
0,0.9781708599342962,0.9137542494412432,0.7886311383451309,0.3684428114770989,0.9191833818816628,0.5470391483504576,0.9287572130743418,0.7048392830272725,0.6878116022961096,0.3601410335013195,276models
1,0.9773910681135578,0.9124067048804304,0.789199631737024,0.37305915931514466,0.9187708468539172,0.541099044776396,0.929345830126125,0.7079601322675412,0.6902113487379951,0.3514575075645901,276models
2,0.9784425293428116,0.9122546826639878,0.7896624759144946,0.3762267992453282,0.918468991955567,0.5558649141054599,0.9291848408470048,0.7074230220682379,0.6888982799301709,0.35220876595021017,276models
3,0.9780400561450112,0.9116139349670002,0.7876652026704095,0.34229189083593464,0.9179960859481512,0.5455923890183725,0.9287873985641768,0.7000751921228902,0.6856332161130144,0.3311737057568576,276models
4,0.9781708599342962,0.8987481644939939,0.7894813629754843,0.37034074313721943,0.9185494865951271,0.5514186471901515,0.9287119348395892,0.7095789282801624,0.6885159303922604,0.3500964485844065,276models
5,0.9775470264777056,0.8851303444240801,0.7857786095557199,0.339234788398726,0.9189418979629824,0.5454802537188742,0.9272730931574524,0.6962893521664795,0.6872431089042164,0.3303887654019437,276models
6,0.9782714782337464,0.9064542527764468,0.7892046626519965,0.3773222367079391,0.9191783509666904,0.5552263489764478,0.9285710692203591,0.7062444998427134,0.688520961307233,0.3533637368786977,276models
7,0.9772502024943276,0.9007706523772104,0.7899140216631199,0.37924272205365,0.9176087054952684,0.5408110222285228,0.928530821900579,0.6982693785705304,0.6872179543293538,0.3452961880206872,276models
8,0.9775269028178156,0.9098953327654526,0.7891090752675191,0.37443464371247176,0.9190525780923776,0.5470589175378022,0.9286515638599192,0.7095243472671628,0.6877965095511921,0.3499629389299504,276models
9,0.9781708599342962,0.912177618422813,0.7873784405169768,0.3377967457699362,0.9196210714842707,0.5573697506326681,0.9283698326214588,0.7039113999062121,0.6873739126935016,0.3316520481959521,276models
10,0.9782060763391038,0.9043214998880398,0.7870464001287915,0.3380649575215012,0.9189519597929277,0.5568199788732551,0.9287521821593692,0.7087181734848392,0.6843201473051904,0.3255317760942806,276models
11,0.9779042214407534,0.9102374831671364,0.7872778222175267,0.33334169989054685,0.918519301105292,0.5431957936843346,0.9286666566048368,0.7087840027689576,0.685230742915214,0.3348092317989745,276models
12,0.9780199324851212,0.9035388719537198,0.7875595534559872,0.3333537619946463,0.9187155067892198,0.548599100354324,0.9278315247194008,0.7016786808465206,0.6866243063625982,0.3291672931273691,276models
13,0.9781708599342962,0.9072210763458282,0.7873180695373068,0.33915330681480815,0.91887649606834,0.5408868561334206,0.927766122824758,0.6970495975800761,0.6839931378319775,0.3285945058746109,276models
14,0.9773759753686404,0.9047567751242824,0.7906233806742432,0.37270322879500056,0.91893686704801,0.5483073469714469,0.9289685115031869,0.7072357913517435,0.6892906912980263,0.3402781038837163,276models
15,0.9784123438529766,0.9127921591966501,0.7894914248054293,0.3764069076465076,0.9186752594694396,0.5443165040436599,0.9288729241187096,0.6972885613362131,0.6875499947175393,0.3517822221794655,276models
16,0.9783217873834714,0.9147409481232412,0.7868451635298911,0.3377213431313404,0.9184136518908694,0.5503210176638135,0.9286616256898642,0.7037844958943549,0.6882945701334702,0.3295124520761313,276models
17,0.9775721810525679,0.9021813747162808,0.7879117175040625,0.3353110487006321,0.91887649606834,0.5511120860828911,0.9275497934809404,0.6958496402741461,0.6868305738764711,0.33314804545617555,276models
